Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,6,NULL,5
2,WiaSL ECL With Sound,9,NULL,5
3,WiaSL ECL With Sound,22,NULL,5
4,WiaSL ECL With Sound,26,NULL,5
5,WiaSL ECL With Sound,31,NULL,5
1,WiaSL ECL No Sound,0,NULL,6
2,WiaSL ECL No Sound,10,NULL,6
3,WiaSL ECL No Sound,13,NULL,6
4,WiaSL ECL No Sound,17,NULL,6
5,WiaSL ECL No Sound,23,NULL,6
